MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
,,05,1.6457,1.9193,1.2759,116.45,121.15,20.82,16.46,2.1175,0.012833,1.2725,0.1117,40.05,4.2473,99.64,2.9395,35.04,34.02,133.32,4.0953,34.74,0.006009
,,08,1.6472,1.9110,1.2846,116.36,121.42,20.93,16.56,2.1030,0.012904,1.2685,0.1115,40.01,4.2631,99.29,2.9411,35.28,34.25,132.95,4.0826,34.97,0.006047
,,09,1.6421,1.9078,1.2770,116.56,120.95,20.83,16.46,2.1232,0.012828,1.2635,0.1116,40.01,4.2422,99.67,2.9276,35.07,34.05,132.36,4.0701,34.77,0.006011
,,10,1.6329,1.9000,1.2779,117.02,121.44,20.83,16.47,2.1245,0.012824,1.2654,0.1122,40.10,4.2502,100.17,2.9441,35.09,34.08,131.28,4.0860,34.79,0.006016
,,11,1.6576,1.9118,1.2619,117.04,121.39,20.58,16.27,2.1217,0.012641,1.2775,0.1122,40.00,4.2237,100.18,2.9170,34.66,33.65,133.61,4.0608,34.36,0.005943
,,12,1.6496,1.9137,1.2606,115.58,121.63,20.53,16.25,2.1086,0.012625,1.2729,0.1125,39.83,4.2182,99.11,2.9066,34.62,33.61,133.12,4.0508,34.32,0.005940
,,15,1.6522,1.9112,1.2642,114.94,121.71,20.60,16.29,2.1096,0.012617,1.2736,0.1127,39.70,4.2309,98.63,2.9099,34.71,33.71,133.58,4.0591,34.42,0.005955
,,16,1.6492,1.9059,1.2618,115.53,120.90,20.56,16.26,2.1264,0.012574,1.2653,0.1128,39.65,4.2292,98.69,2.9084,34.65,33.64,133.06,4.0598,34.35,0.005945
,,17,1.6573,1.9067,1.2612,116.46,121.43,20.57,16.26,2.1327,0.012556,1.2703,0.1128,39.52,4.2315,99.37,2.9107,34.63,33.63,133.93,4.0638,34.34,0.005943
,,18,1.6577,1.9219,1.2658,116.19,121.44,20.62,16.32,2.1231,0.012586,1.2664,0.1125,39.59,4.2299,99.62,2.9126,34.76,33.75,134.25,4.0747,34.46,0.005964
,,19,1.6651,1.9307,1.2677,116.40,122.21,20.65,16.34,2.1192,0.012542,1.2671,0.1129,39.63,4.2327,100.25,2.9216,34.81,33.80,134.58,4.0736,34.51,0.005973
,,22,1.6611,1.9303,1.2627,116.36,121.89,20.57,16.28,2.1253,0.012545,1.2631,0.1129,39.71,4.2221,100.18,2.9195,34.68,33.67,134.40,4.0791,34.38,0.005945
,,23,1.6653,1.9394,1.2618,116.99,122.21,20.55,16.26,2.1171,0.012337,1.2673,0.1130,39.79,4.2230,100.92,2.9235,34.65,33.64,134.84,4.0789,34.35,0.005945
,,24,1.6704,1.9424,1.2646,117.13,122.69,20.61,16.30,2.1231,0.012332,1.2678,0.1135,39.77,4.2290,100.79,2.9246,34.73,33.72,135.12,4.0886,34.43,0.005959
,,25,1.6737,1.9429,1.2676,116.04,123.01,20.65,16.34,2.1351,0.012343,1.2658,0.1134,39.61,4.2313,101.14,2.9234,34.81,33.80,135.28,4.0785,34.51,0.005973
,,26,1.6767,1.9437,1.2624,117.01,122.91,20.58,16.27,2.1497,0.012304,1.2775,0.1137,39.39,4.2223,102.17,2.9151,34.68,33.66,135.90,4.0585,34.37,0.005951
,,29,1.6820,1.9487,1.2663,117.42,123.31,20.65,16.32,2.1394,0.012333,1.2942,0.1141,39.33,4.2310,102.39,2.9214,34.79,33.77,136.44,4.0632,34.48,0.005969
,,30,1.6816,1.9441,1.2690,115.23,123.46,20.68,16.36,2.1270,0.012347,1.2901,0.1139,39.23,4.2381,101.42,2.9233,34.85,33.84,136.13,4.0589,34.55,0.005992
,,31,1.6885,1.9394,1.2738,114.90,123.65,20.78,16.42,2.0838,0.012400,1.2981,0.1135,39.21,4.2499,101.55,2.9259,34.98,33.96,137.00,4.0612,34.68,0.006018
,Aug,01,1.6879,1.9278,1.2714,113.93,123.51,20.75,16.39,2.0978,0.012365,1.2931,0.1135,39.27,4.2419,101.23,2.9253,34.92,33.90,137.05,4.0626,34.61,0.006009
,,02,1.6860,1.9299,1.2756,113.69,123.26,20.81,16.45,2.1011,0.012406,1.2842,0.1134,39.23,4.2531,100.81,2.9259,35.03,34.01,136.21,4.0631,34.73,0.006023
,,05,1.6868,1.9402,1.2706,112.65,122.17,20.74,16.38,2.0865,0.012354,1.2864,0.1139,39.14,4.2433,98.57,2.9202,34.89,33.88,136.65,4.0575,34.59,0.006016
,,06,1.6804,1.9449,1.2668,113.13,122.36,20.69,16.33,2.0728,0.012317,1.2909,0.1136,39.22,4.2304,99.27,2.9108,34.79,33.78,136.64,4.0363,34.49,0.006005
,,07,1.6866,1.9441,1.2684,113.69,122.14,20.72,16.35,2.0710,0.012333,1.3043,0.1136,38.97,4.2361,100.11,2.9075,34.83,33.82,137.01,4.0299,34.53,0.006017
,,12,1.6809,1.9547,1.2615,116.12,122.63,20.61,16.27,2.0827,0.012268,1.3067,0.1133,38.92,4.2128,101.45,2.8909,34.64,33.64,136.53,4.0400,34.35,0.005979
,,13,1.6805,1.9522,1.2624,115.24,122.49,20.61,16.28,2.0505,0.012271,1.2970,0.1131,38.77,4.2148,100.98,2.8880,34.67,33.66,136.30,4.0384,34.37,0.005982
,,14,1.6813,1.9581,1.2676,115.41,122.49,20.71,16.34,2.0648,0.012316,1.2943,0.1132,38.76,4.2306,101.17,2.8942,34.81,33.80,135.89,4.0518,34.51,0.006008
,,15,1.6865,1.9692,1.2685,116.42,122.94,20.74,16.36,2.0690,0.012304,1.2988,0.1135,38.73,4.2346,102.33,2.9003,34.83,33.82,136.12,4.0573,34.54,0.006012
,,16,1.6956,1.9866,1.2706,116.50,123.31,20.79,16.39,2.0680,0.012250,1.3011,0.1139,38.77,4.2445,102.61,2.9019,34.89,33.88,137.02,4.0601,34.59,0.006022
,,19,1.6987,1.9915,1.2745,117.47,123.38,20.83,16.44,2.0471,0.012158,1.3056,0.1143,38.80,4.2556,103.54,2.9215,35.00,33.98,137.52,4.0660,34.70,0.006039
,,20,1.7064,1.9999,1.2780,115.85,123.23,20.88,16.48,1.9991,0.012177,1.3101,0.1137,38.76,4.2633,102.09,2.9238,35.09,34.08,138.43,4.0392,34.79,0.006057
,,21,1.7143,2.0008,1.2773,115.34,122.56,20.86,16.47,2.0182,0.011876,1.3136,0.1141,38.79,4.2641,101.30,2.9179,35.08,34.06,139.34,4.0198,34.77,0.006054
,,22,1.7130,2.0033,1.2841,115.29,122.33,20.97,16.56,1.9751,0.011890,1.3085,0.1142,38.66,4.2813,100.47,2.9080,35.26,34.24,138.94,3.9947,34.96,0.006087
,,23,1.7085,1.9950,1.2800,115.46,121.49,20.91,16.50,1.9807,0.011808,1.2930,0.1146,38.71,4.2699,100.26,2.8927,35.15,34.13,138.45,4.0056,34.85,0.006046
,,26,1.7122,1.9923,1.2793,115.64,121.83,20.90,16.50,2.0008,0.011791,1.2966,0.1149,38.77,4.2712,100.08,2.8934,35.13,34.11,138.78,4.0047,34.83,0.006052
,,27,1.7148,1.9961,1.2822,115.23,121.95,20.94,16.53,1.9616,0.011780,1.3042,0.1149,38.49,4.2776,100.34,2.8865,35.21,34.19,139.08,3.9863,34.91,0.006057
,,28,1.7164,1.9916,1.2824,114.43,122.19,20.95,16.53,1.9068,0.011717,1.3216,0.1148,38.45,4.2770,99.73,2.8724,35.21,34.19,139.71,3.9715,34.91,0.006066
,,29,1.7034,1.9851,1.2769,114.53,121.80,20.86,16.47,1.8993,0.011688,1.3091,0.1151,38.46,4.2642,99.98,2.8627,35.07,34.05,138.45,3.9692,34.76,0.006036
,,30,1.6890,1.9790,1.2757,114.16,121.13,20.84,16.45,1.8951,0.011682,1.2986,0.1150,38.66,4.2616,99.25,2.8592,35.03,34.01,136.98,3.9748,34.73,0.006030
,Sep,02,1.6826,1.9822,1.2740,114.24,121.11,20.83,16.43,1.9363,0.011669,1.2918,0.1156,38.78,4.2745,99.19,2.8578,34.98,33.97,136.67,3.9608,34.69,0.006022
,,03,1.6786,1.9797,1.2727,114.43,120.59,20.79,16.41,1.9127,0.011591,1.2788,0.1161,39.00,4.2749,99.45,2.8726,34.95,33.93,136.16,3.9716,34.65,0.006017
,,04,1.6829,1.9894,1.2782,116.30,121.27,20.89,16.48,1.8672,0.011510,1.2830,0.1161,38.69,4.2877,99.76,2.8656,35.10,34.08,136.40,3.9640,34.80,0.006046
,,05,1.6832,1.9922,1.2756,116.93,121.69,20.84,16.45,1.9418,0.011466,1.2794,0.1168,38.89,4.2869,100.77,2.8765,35.03,34.01,136.18,3.9646,34.73,0.006031
,,06,1.6810,1.9979,1.2797,116.89,122.10,20.91,16.50,1.9400,0.011451,1.2823,0.1169,38.57,4.2960,101.31,2.8754,35.16,34.12,135.63,3.9473,34.84,0.006051
,,09,1.6789,1.9941,1.2747,117.30,122.59,20.84,16.44,1.9537,0.011407,1.2790,0.1171,38.45,4.2859,101.81,2.8729,35.00,33.99,135.77,3.9471,34.70,0.006030
,,10,1.6824,1.9923,1.2688,117.58,122.41,20.73,16.36,1.9759,0.011369,1.2742,0.1169,38.78,4.2757,102.07,2.8907,34.86,33.83,136.04,3.9545,34.54,0.006009
,,11,1.6845,1.9975,1.2702,117.98,122.62,20.76,16.38,1.9867,0.011091,1.2641,0.1166,38.76,4.2684,102.21,2.9000,34.90,33.87,135.69,3.9502,34.58,0.006011
,,12,1.6879,2.0053,1.2668,117.29,122.79,20.70,16.34,2.0105,0.011004,1.2727,0.1170,38.81,4.2668,102.94,2.8936,34.81,33.78,136.30,3.9931,34.49,0.006000
,,13,1.6865,2.0050,1.2694,117.38,122.94,20.75,16.37,1.9805,0.011125,1.2744,0.1170,38.58,4.2723,103.00,2.8942,34.86,33.85,136.20,3.9893,34.56,0.006012
,,16,1.6873,2.0136,1.2621,117.77,122.49,20.63,16.28,2.0139,0.011066,1.2768,0.1165,38.36,4.2578,103.50,2.8878,34.66,33.65,136.61,3.9833,34.36,0.005976
,,17,1.6854,2.0095,1.2639,117.63,122.39,20.65,16.30,1.9929,0.011034,1.2736,0.1164,38.77,4.2610,103.26,2.8897,34.72,33.70,136.28,3.9733,34.41,0.005986
,,18,1.6829,2.0039,1.2604,117.77,122.37,20.59,16.25,1.9941,0.010944,1.2700,0.1165,38.95,4.2496,103.59,2.8925,34.62,33.61,136.02,3.9798,34.32,0.005962
,,19,1.6842,2.0074,1.2446,118.21,121.75,20.33,16.05,2.0134,0.011004,1.2650,0.1163,39.34,4.1948,104.50,2.8870,34.18,33.19,136.45,4.0129,33.89,0.005889
,,20,1.6868,1.9992,1.2460,117.80,121.24,20.36,16.07,2.0060,0.010944,1.2552,0.1163,39.46,4.2223,104.38,2.8951,34.23,33.22,136.86,4.0213,33.92,0.005898
,,23,1.6899,2.0011,1.2492,117.61,121.31,20.42,16.11,2.0008,0.010891,1.2600,0.1161,39.38,4.2241,104.50,2.8950,34.31,33.31,137.12,4.0167,34.01,0.005918
,,24,1.6909,2.0087,1.2531,117.97,121.81,20.48,16.16,1.9941,0.010821,1.2688,0.1165,39.09,4.2382,104.26,2.8893,34.42,33.41,137.60,4.0042,34.12,0.005933
,,25,1.6925,2.0088,1.2569,117.76,121.95,20.53,16.21,2.0003,0.010852,1.2738,0.1166,38.83,4.2477,103.37,2.8864,34.52,33.51,137.58,3.9990,34.22,0.005953
,,26,1.6970,2.0173,1.2549,117.52,121.59,20.51,16.18,2.0191,0.010848,1.2688,0.1168,38.96,4.2445,103.58,2.8900,34.47,33.46,137.92,4.0105,34.17,0.005942
,,27,1.6927,2.0145,1.2556,117.32,121.71,20.51,16.19,2.0292,0.010863,1.2708,0.1167,38.95,4.2456,104.04,2.8971,34.49,33.48,137.98,4.0205,34.18,0.005945
,,30,1.6975,2.0325,1.2572,117.00,122.00,20.55,16.21,1.9984,0.010778,1.2834,0.1169,38.59,4.2520,104.16,2.8876,34.53,33.52,138.95,4.0051,34.23,0.005958
,Oct,01,1.6964,2.0353,1.2536,116.95,121.48,20.48,16.16,2.0058,0.010826,1.2753,0.1167,38.67,4.2432,104.12,2.8891,34.43,33.43,138.63,4.0147,34.13,0.005938
,,02,1.6942,2.0262,1.2528,117.44,121.10,20.47,16.16,2.0058,0.010830,1.2814,0.1166,38.74,4.2475,103.07,2.8866,34.40,33.41,138.20,4.0038,34.11,0.005933
,,03,1.6984,2.0268,1.2482,117.24,120.91,20.39,16.10,2.0118,0.010824,1.2784,0.1162,39.02,4.2440,103.71,2.8907,34.28,33.28,138.55,4.0006,33.98,0.005910
,,04,1.6999,2.0175,1.2477,117.73,120.81,20.38,16.09,2.0188,0.010800,1.2829,0.1164,38.98,4.2513,103.50,2.8912,34.27,33.27,138.90,3.9824,33.97,0.005910
,,07,1.6932,2.0012,1.2482,117.59,121.13,20.39,16.10,2.0248,0.010828,1.2853,0.1166,39.13,4.2498,103.51,2.8937,34.28,33.28,137.97,3.9828,33.98,0.005913
,,08,1.6950,2.0094,1.2498,117.78,121.00,20.43,16.12,2.0238,0.010834,1.2892,0.1163,39.07,4.2513,103.68,2.9008,34.32,33.32,138.18,3.9803,34.03,0.005918
,,09,1.6974,2.0102,1.2513,118.06,120.64,20.45,16.14,2.0085,0.010843,1.2855,0.1164,38.97,4.2512,103.73,2.8989,34.37,33.37,138.08,3.9850,34.07,0.005926
,,10,1.6916,1.9965,1.2532,117.91,120.36,20.48,16.16,2.0148,0.010857,1.2825,0.1164,39.10,4.2568,103.50,2.8982,34.42,33.42,137.35,3.9803,34.12,0.005939
,,11,1.6903,1.9952,1.2485,118.28,120.06,20.41,16.10,2.0389,0.010892,1.2674,0.1167,39.25,4.2467,103.71,2.8964,34.29,33.29,137.08,3.9901,33.99,0.005917
,,14,1.6898,1.9912,1.2459,117.95,120.28,20.37,16.07,2.0356,0.010963,1.2675,0.1161,39.19,4.2396,103.80,2.8877,34.22,33.22,136.96,3.9773,33.92,0.005905
,,16,1.6787,1.9840,1.2424,118.30,119.70,20.37,16.02,2.0115,0.010951,1.2609,0.1165,39.22,4.2237,104.24,2.8773,34.12,33.13,135.80,3.9744,33.83,0.005888
,,17,1.6855,1.9881,1.2443,118.76,120.51,20.41,16.05,2.0173,0.010958,1.2611,0.1169,39.31,4.2352,104.89,2.8857,34.17,33.18,136.39,3.9958,33.88,0.005894
,,18,1.6937,2.0015,1.2395,119.25,120.39,20.34,15.99,2.0275,0.010954,1.2645,0.1168,39.34,4.2179,104.85,2.8789,34.04,33.05,137.23,3.9932,33.75,0.005870
,,21,1.6979,2.0062,1.2416,119.94,120.63,20.37,16.01,2.0184,0.010930,1.2675,0.1169,39.17,4.2223,105.39,2.8774,34.10,33.11,137.48,3.9949,33.80,0.005883
,,22,1.6979,2.0030,1.2424,119.88,120.55,20.39,16.03,2.0115,0.010946,1.2636,0.1171,39.01,4.2250,104.92,2.8753,34.13,33.13,137.51,3.9865,33.83,0.005888
,,23,1.7045,2.0084,1.2363,120.02,120.17,20.31,15.95,2.0207,0.010975,1.2664,0.1171,39.22,4.2065,104.62,2.8711,33.96,32.96,138.21,3.9874,33.66,0.005859
,,24,1.7065,2.0044,1.2375,119.42,119.27,20.35,15.96,2.0086,0.011039,1.2717,0.1173,39.20,4.2106,104.32,2.8716,33.99,33.00,138.75,3.9727,33.69,0.005865
,,25,1.7082,2.0050,1.2375,118.86,118.77,20.35,15.96,2.0133,0.011245,1.2726,0.1166,39.29,4.2087,102.96,2.8729,33.99,33.00,138.75,3.9746,33.69,0.005862
,,28,1.7073,2.0007,1.2364,118.74,118.46,20.32,15.95,2.0132,0.011197,1.2665,0.1165,39.41,4.2046,102.71,2.8700,33.95,32.97,138.41,3.9781,33.66,0.005860
,,29,1.7065,1.9934,1.2386,117.75,118.49,20.34,15.97,2.0088,0.011169,1.2700,0.1167,39.40,4.2109,102.37,2.8695,34.02,33.03,138.21,3.9852,33.72,0.005870
,,30,1.7034,1.9885,1.2398,117.50,118.52,20.35,15.99,2.0164,0.011060,1.2629,0.1169,39.29,4.2137,102.43,2.8704,34.05,33.06,137.69,3.9910,33.75,0.005876
,,31,1.6996,1.9850,1.2394,117.64,118.26,20.34,15.99,2.0182,0.010983,1.2585,0.1170,39.25,4.2174,102.25,2.8650,34.04,33.05,137.57,3.9865,33.74,0.005874
,Nov,01,1.6832,1.9908,1.2417,117.71,119.13,20.37,16.02,2.0086,0.010926,1.2683,0.1168,39.19,4.2222,102.63,2.8726,34.11,33.11,136.74,3.9798,33.81,0.005885
,,04,1.6757,1.9794,1.2432,117.86,119.29,20.38,16.04,2.0133,0.010939,1.2587,0.1171,39.11,4.2258,102.65,2.8701,34.15,33.15,136.14,3.9744,33.85,0.005892
,,05,1.6776,1.9843,1.2423,117.83,119.01,20.38,16.03,2.0082,0.010941,1.2613,0.1170,39.15,4.2261,102.78,2.8691,34.13,33.12,136.43,3.9677,33.82,0.005888
,,06,1.6801,2.0005,1.2433,118.24,119.03,20.40,16.04,2.0099,0.010921,1.2599,0.1171,39.10,4.2262,104.25,2.8747,34.16,33.15,136.40,3.9754,33.85,0.005892
,,07,1.6793,1.9971,1.2422,117.69,119.19,20.38,16.03,1.9855,0.010908,1.2600,0.1171,39.06,4.2236,103.81,2.8733,34.12,33.12,136.27,3.9725,33.82,0.005887
,,08,1.6681,2.0023,1.2439,117.65,119.02,20.42,16.05,1.9847,0.010907,1.2673,0.1170,39.02,4.2285,103.63,2.8791,34.17,33.17,135.65,3.9653,33.87,0.005896
,,11,1.6661,1.9968,1.2468,117.00,119.00,20.47,16.08,1.9758,0.010835,1.2596,0.1168,39.01,4.2297,103.31,2.8745,34.25,33.24,135.17,3.9400,33.95,0.005909
,,12,1.6723,1.9944,1.2480,116.50,119.04,20.49,16.10,1.9672,0.010731,1.2536,0.1166,38.96,4.2219,102.72,2.8583,34.28,33.28,135.59,3.9531,33.98,0.005917
,,13,1.6796,1.9845,1.2489,116.24,119.08,20.50,16.11,1.9595,0.010720,1.2559,0.1164,38.92,4.2204,102.83,2.8541,34.30,33.30,136.21,3.9541,34.00,0.005919
,,14,1.6783,1.9985,1.2464,116.54,119.01,20.46,16.08,1.9776,0.010782,1.2506,0.1168,38.99,4.2157,103.30,2.8610,34.23,33.23,136.20,3.9568,33.93,0.005905
,,15,1.6784,2.0043,1.2477,116.61,119.19,20.48,16.09,1.9769,0.010768,1.2447,0.1169,39.00,4.2191,103.42,2.8633,34.27,33.27,135.94,3.9472,33.97,0.005913
,,18,1.6819,2.0095,1.2462,117.12,119.47,20.46,16.07,1.9842,0.010706,1.2442,0.1174,39.00,4.2164,104.05,2.8568,34.23,33.23,136.27,3.9449,33.93,0.005906
,,19,1.6832,2.0063,1.2462,116.77,119.41,20.46,16.07,2.0037,0.010729,1.2483,0.1180,39.08,4.2273,103.58,2.8602,34.23,33.23,136.54,3.9430,33.93,0.005907
,,20,1.6858,2.0034,1.2435,117.09,118.80,20.41,16.04,1.9920,0.010699,1.2434,0.1177,39.11,4.2177,103.77,2.8545,34.15,33.16,136.71,3.9277,33.86,0.005893
,,21,1.6760,2.0083,1.2484,116.23,119.28,20.49,16.10,1.9862,0.010661,1.2438,0.1176,38.96,4.2213,103.07,2.8502,34.29,33.29,136.10,3.9276,33.99,0.005918
,,22,1.6846,2.0247,1.2510,114.95,118.68,20.53,16.14,1.9871,0.010676,1.2349,0.1178,38.89,4.2299,102.72,2.8511,34.36,33.36,136.74,3.9321,34.06,0.005929
,,25,1.6962,2.0317,1.2522,114.65,118.62,20.55,16.15,2.0014,0.010682,1.2316,0.1180,38.81,4.2311,102.93,2.8524,34.39,33.39,137.83,3.9174,34.09,0.005935
,,26,1.6931,2.0212,1.2513,114.96,118.76,20.54,16.14,2.0014,0.010622,1.2326,0.1180,38.85,4.2292,103.07,2.8575,34.37,33.36,137.32,3.9042,34.07,0.005928
,,27,1.7020,2.0318,1.2524,114.26,118.69,20.56,16.16,2.0088,0.010564,1.2343,0.1180,38.84,4.2308,102.62,2.8659,34.40,33.39,138.20,3.9089,34.10,0.005933
,,28,1.7038,2.0453,1.2548,114.45,118.55,20.60,16.19,2.0140,0.010465,1.2295,0.1182,38.78,4.2400,102.40,2.8691,34.46,33.46,138.22,3.8975,34.16,0.005944
,,29,1.7097,2.0550,1.2555,113.95,118.47,20.61,16.19,2.0159,0.010487,1.2248,0.1186,38.91,4.2406,101.72,2.8686,34.48,33.48,138.73,3.9137,34.18,0.005945
,Dec,02,1.7058,2.0596,1.2543,114.73,118.07,20.59,16.18,2.0140,0.010507,1.2255,0.1186,38.92,4.2416,102.79,2.8696,34.45,33.44,138.57,3.8941,34.15,0.005943
,,03,1.7003,2.0555,1.2562,114.23,118.01,20.62,16.20,2.0130,0.010601,1.2174,0.1184,39.05,4.2454,102.85,2.8697,34.50,33.50,138.15,3.9000,34.20,0.005948
,,04,1.7041,2.0552,1.2540,113.64,117.89,20.59,16.18,2.0076,0.010441,1.2223,0.1182,38.96,4.2386,102.69,2.8673,34.44,33.44,138.62,3.8980,34.14,0.005940
,,05,1.7052,2.0560,1.2552,113.53,117.57,20.61,16.19,2.0316,0.010430,1.2266,0.1183,38.88,4.2409,103.05,2.8615,34.47,33.47,139.08,3.8963,34.17,0.005943
,,06,1.7136,2.0475,1.2537,113.57,117.65,20.60,16.17,2.0339,0.010471,1.2312,0.1185,38.93,4.2389,102.79,2.8578,34.43,33.43,139.80,3.8778,34.13,0.005939
,,09,1.7142,2.0441,1.2510,113.99,117.48,20.60,16.13,2.0482,0.010442,1.2153,0.1188,38.87,4.2325,103.76,2.8461,34.36,33.35,140.12,3.8942,34.06,0.005920
,,10,1.7195,2.0561,1.2497,113.77,117.53,20.58,16.12,2.0448,0.010422,1.2098,0.1187,39.06,4.2276,103.64,2.8242,34.32,33.32,140.49,3.8944,34.02,0.005917
,,11,1.7188,2.0543,1.2495,114.08,117.81,20.58,16.11,2.0362,0.010401,1.2176,0.1188,38.94,4.2260,103.46,2.8282,34.32,33.32,140.79,3.9035,34.02,0.005918
,,12,1.7289,2.0509,1.2534,112.99,118.31,20.63,16.16,2.0333,0.010410,1.2227,0.1189,38.83,4.2342,103.61,2.8374,34.42,33.42,141.37,3.8998,34.12,0.005937
,,13,1.7274,2.0537,1.2555,112.43,118.02,20.68,16.19,2.0219,0.010391,1.2111,0.1192,38.85,4.2408,103.49,2.8399,34.48,33.47,141.16,3.9137,34.18,0.005947
,,16,1.7265,2.0458,1.2547,112.41,118.59,20.66,16.18,2.0198,0.010355,1.2216,0.1192,38.79,4.2364,103.94,2.8422,34.46,33.45,141.26,3.9160,34.16,0.005944
,,17,1.7279,2.0480,1.2552,112.21,118.64,20.67,16.19,2.0276,0.010350,1.2191,0.1193,38.73,4.2357,103.96,2.8424,34.47,33.47,141.48,3.9200,34.17,0.005946
,,18,1.7328,2.0488,1.2580,112.04,118.58,20.72,16.23,2.0330,0.010333,1.2212,0.1195,38.62,4.2379,103.82,2.8404,34.55,33.54,142.15,3.9020,34.25,0.005961
,,19,1.7252,2.0684,1.2633,111.52,117.80,20.80,16.29,2.0260,0.010351,1.2149,0.1190,38.53,4.2378,103.36,2.8438,34.70,33.68,141.04,3.8991,34.39,0.005984
,,20,1.7282,2.0735,1.2667,112.42,118.77,20.86,16.33,2.0334,0.010340,1.2131,0.1194,38.59,4.2360,104.01,2.8470,34.79,33.78,140.96,3.8963,34.49,0.006002
,,23,1.7317,2.0696,1.2663,113.02,118.97,20.86,16.33,2.0447,0.010335,1.2168,0.1193,38.43,4.2271,103.80,2.8504,34.78,33.76,141.28,3.8654,34.48,0.006001
,,24,1.7348,2.0732,1.2677,112.95,119.21,20.88,16.35,2.0495,0.010370,1.2148,0.1195,38.53,4.2214,103.70,2.8568,34.81,33.80,141.66,3.8702,34.52,0.006008
,,26,1.7357,2.0796,1.2689,112.81,119.22,20.90,16.36,2.0500,0.010401,1.2119,0.1197,38.50,4.2311,103.62,2.8569,34.85,33.83,141.56,3.8662,34.55,0.006015
,,27,1.7414,2.0844,1.2677,112.61,119.17,20.89,16.35,2.0418,0.010333,1.2093,0.1201,38.50,4.2288,103.46,2.8587,34.81,33.80,141.83,3.8638,34.51,0.006009
,,30,1.7447,2.0916,1.2693,112.41,118.55,20.93,16.37,2.0473,0.010349,1.2059,0.1203,38.53,4.2418,103.27,2.8604,34.86,33.84,142.27,3.8522,34.56,0.006016
,,31,1.7452,2.0852,1.2653,112.90,118.76,20.91,16.32,2.0463,0.010388,1.2061,0.1199,38.56,4.2463,103.97,2.8498,34.75,33.74,142.46,3.8553,34.45,0.005992

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
2014,Jan,02,1.7399,2.0966,1.2639,112.80,118.88,20.89,16.30,2.0438,0.010353,1.2004,0.1203,38.56,4.2338,104.04,2.8514,34.71,33.70,141.74,3.8393,34.41,0.005987
,,03,1.7310,2.0828,1.2673,113.30,118.93,20.94,16.34,2.0316,0.010373,1.2155,0.1201,38.48,4.2327,104.17,2.8389,34.80,33.79,140.87,3.8403,34.50,0.006008
,,06,1.7239,2.0767,1.2689,113.52,119.48,20.96,16.36,2.0328,0.010373,1.2151,0.1193,38.59,4.2305,104.74,2.8365,34.85,33.83,140.06,3.8330,34.55,0.006014
,,07,1.7297,2.0817,1.2695,113.38,118.92,20.98,16.37,2.0356,0.010355,1.2141,0.1188,38.63,4.2215,104.89,2.8381,34.86,33.85,140.15,3.8319,34.56,0.006018
,,08,1.7316,2.0842,1.2711,113.38,117.79,21.00,16.39,2.0431,0.010000,1.2114,0.1193,38.71,4.2257,105.35,2.8393,34.91,33.89,139.88,3.8425,34.61,0.006026
,,09,1.7274,2.0932,1.2722,113.02,117.37,21.01,16.41,2.0448,0.010377,1.2136,0.1197,38.80,4.2264,105.05,2.8434,34.94,33.92,139.48,3.8540,34.64,0.006031
,,10,1.7295,2.0937,1.2706,113.10,117.14,20.99,16.39,2.0508,0.010421,1.2112,0.1197,38.89,4.2331,104.80,2.8457,34.89,33.88,140.15,3.8491,34.59,0.006025
